,Average +/-,Average points,Average second chance points,Average possessions,Average defensive rebounds,Average offensive rebounds,Total rebounds,Average total rebounds,Steals,Average steals,3 Points made,Average 3 points made,3 Point percentage,Turnovers,Average turnovers,Turnover percentage,2 Points attempted,Average 2 points attempted,2 Points made,Average 2 points made,Minutes,Average minutes,Assists,Average assists,Assist percentage,Blocks,Average blocks,Blocks received,Average blocks received,Efficiency,Field goals attempted,Average field goals attempted,DFPG,OFPG,OF,PFPG,TF,TFPG,Tot Fouls,Tot Fouls PG,Uns. Foul PG,FTA,FTAPG,FTMPG
Yee Tong Heng,2.2,9.8,1.1,0,2.6,0.4,51,3,34,2,26,1.5,24.1,61,3.6,23.5,77,4.5,32,1.9,525:29,30.9,107,6.3,0,2,0.1,2,0.1,167,185,10.9,0,0,0,3.3,1,0.1,58,3.4,0.1,31,1.8,1.5
Jia Hao Hiew,3.9,4.7,0.5,0,1.2,0.6,27,1.8,22,1.5,11,0.7,31.4,14,0.9,14.5,35,2.3,11,0.7,259:10,17.3,21,1.4,0,0,0,3,0.2,65,70,4.7,0,0,0,0.9,0,0,14,0.9,0,28,1.9,1
Hoong Shen Ho,-1.4,1.6,0.2,0,0.8,0.1,11,0.9,4,0.3,1,0.1,10,7,0.6,21.3,15,1.3,7,0.6,98:38,8.2,6,0.5,0,0,0,0,0,16,25,2.1,0,0,0,0.6,0,0,7,0.6,0,2,0.2,0.2
Carl Bird Jabari,5.8,21.1,2.6,0,4.5,1.9,64,6.4,18,1.8,18,1.8,52.9,16,1.6,8.6,117,11.7,68,6.8,262:27,26.3,37,3.7,0,3,0.3,1,0.1,228,151,15.1,0,0,0,2.4,2,0.2,27,2.7,0.1,45,4.5,2.1
Dequan Jaylin Abrom,8.1,19.9,2.1,0,3.9,1.3,72,5.1,34,2.4,26,1.9,32.1,29,2.1,10.8,138,9.9,84,6,443:05,31.7,54,3.9,0,0,0,9,0.6,290,219,15.6,0,0,0,1.1,1,0.1,16,1.1,0,44,3.1,2.4
Toluwalope Joseph Obasa,4.1,7.5,2.2,0,4,2.8,102,6.8,14,0.9,0,0,0,23,1.5,16.1,106,7.1,48,3.2,256:57,17.1,11,0.7,0,39,2.6,5,0.3,185,107,7.1,0,0.3,4,2.1,1,0.1,37,2.5,0,29,1.9,1.1
"Hao Wen, Jason Khor",-2.1,3.5,0.4,0,1.5,0.8,37,2.3,13,0.8,1,0.1,5.6,22,1.4,22.9,48,3,22,1.4,290:15,18.1,18,1.1,0,1,0.1,3,0.2,51,66,4.1,0,0,0,2.2,0,0,35,2.2,0,18,1.1,0.6
Esque Tyrone Kimani,1.6,19.1,5.1,0,4.9,4.4,65,9.3,8,1.1,0,0,0,16,2.3,10.9,115,16.4,63,9,168:46,24.1,17,2.4,0,3,0.4,4,0.6,136,118,16.9,0,0.1,1,2,0,0,15,2.1,0,28,4,1.1
Guang Yang Kiu,-0.7,0.4,0,0,1.3,0.2,14,1.6,8,0.9,0,0,0,8,0.9,35,8,0.9,2,0.2,72:41,8.1,9,1,0,0,0,2,0.2,13,14,1.6,0,0,0,1.1,0,0,10,1.1,0,2,0.2,0
Tian Yuan Kuek,0.5,2.3,0.9,0,1.1,0.4,19,1.5,3,0.2,4,0.3,30.8,7,0.5,19.2,13,1,6,0.5,76:50,5.9,6,0.5,0,0,0,1,0.1,33,26,2,0,0.1,1,0.9,0,0,12,0.9,0,8,0.6,0.5
Yoong Jing Kwaan,-1.6,2.1,0.6,0,1.9,1.1,43,3.1,4,0.3,0,0,0,18,1.3,23.8,52,3.7,10,0.7,178:04,12.7,9,0.6,0,3,0.2,4,0.3,24,52,3.7,0,0,0,1.6,1,0.1,25,1.8,0.1,13,0.9,0.6
"Xue Sen, Hensler Kwan",-2,1.4,0.3,0,0.3,0.1,3,0.4,3,0.4,1,0.1,14.3,2,0.3,14.4,4,0.6,3,0.4,47:15,6.8,8,1.1,0,3,0.4,1,0.1,17,11,1.6,0,0,0,0.6,0,0,4,0.6,0,2,0.3,0.1
Kok Weng Lai,-7,7.3,0.8,0,1.8,0.5,9,2.3,6,1.5,4,1,33.3,4,1,13,14,3.5,8,2,59:19,14.8,6,1.5,0,0,0,0,0,31,26,6.5,0,0,0,1.3,0,0,5,1.3,0,2,0.5,0.3
Ganapathy Lakksman,-2,5.9,0.7,0,2.8,0.4,32,3.2,1,0.1,6,0.6,37.5,17,1.7,23.5,34,3.4,17,1.7,127:18,12.7,5,0.5,0,1,0.1,2,0.2,49,50,5,0,0.3,3,2.3,0,0,27,2.7,0.1,12,1.2,0.7
Stephen Lane Hurt,-5.1,10.7,1.5,0,5.7,1.8,75,7.5,2,0.2,6,0.6,33.3,23,2.3,21.1,59,5.9,35,3.5,198:31,19.9,19,1.9,0,10,1,1,0.1,153,77,7.7,0,0,0,2.1,1,0.1,22,2.2,0,20,2,1.9
Jia Jun Lee,-3.1,8.4,1.5,0,2,1.3,53,3.3,11,0.7,22,1.4,28.9,25,1.6,15.6,46,2.9,24,1.5,350:48,21.9,21,1.3,0,1,0.1,4,0.3,111,122,7.6,0,0,0,2.3,0,0,39,2.4,0.1,30,1.9,1.3
Jia Sheng Lee,-5.3,2.8,1.2,0,2.3,1.1,37,3.4,3,0.3,2,0.2,11.8,17,1.6,23.7,35,3.2,11,1,196:21,17.9,23,2.1,0,0,0,4,0.4,35,52,4.7,0,0.1,1,2.6,0,0,32,2.9,0.2,6,0.6,0.3
